country_code,country,region,year,subject,subject_label,score,unit,source
ARE,Emiratos Árabes Unidos,Oriente Medio,2015,ciencias,Ciencias,436.7,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ARE,Emiratos Árabes Unidos,Oriente Medio,2018,ciencias,Ciencias,433.6,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ARE,Emiratos Árabes Unidos,Oriente Medio,2022,ciencias,Ciencias,432.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ARE,Emiratos Árabes Unidos,Oriente Medio,2015,lectura,Lectura,433.5,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ARE,Emiratos Árabes Unidos,Oriente Medio,2018,lectura,Lectura,431.8,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ARE,Emiratos Árabes Unidos,Oriente Medio,2022,lectura,Lectura,417.3,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ARE,Emiratos Árabes Unidos,Oriente Medio,2015,matematicas,Matemáticas,427.5,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ARE,Emiratos Árabes Unidos,Oriente Medio,2018,matematicas,Matemáticas,434.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ARE,Emiratos Árabes Unidos,Oriente Medio,2022,matematicas,Matemáticas,431.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
AUS,Australia,Asia-Pacífico,2015,ciencias,Ciencias,510.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
AUS,Australia,Asia-Pacífico,2018,ciencias,Ciencias,503.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
AUS,Australia,Asia-Pacífico,2022,ciencias,Ciencias,507.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
AUS,Australia,Asia-Pacífico,2015,lectura,Lectura,502.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
AUS,Australia,Asia-Pacífico,2018,lectura,Lectura,502.6,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
AUS,Australia,Asia-Pacífico,2022,lectura,Lectura,498.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
AUS,Australia,Asia-Pacífico,2015,matematicas,Matemáticas,493.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
AUS,Australia,Asia-Pacífico,2018,matematicas,Matemáticas,491.4,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
AUS,Australia,Asia-Pacífico,2022,matematicas,Matemáticas,487.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
BRA,Brasil,América,2015,ciencias,Ciencias,400.7,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
BRA,Brasil,América,2018,ciencias,Ciencias,403.6,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
BRA,Brasil,América,2022,ciencias,Ciencias,403.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
BRA,Brasil,América,2015,lectura,Lectura,407.3,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
BRA,Brasil,América,2018,lectura,Lectura,412.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
BRA,Brasil,América,2022,lectura,Lectura,410.4,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
BRA,Brasil,América,2015,matematicas,Matemáticas,377.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
BRA,Brasil,América,2018,matematicas,Matemáticas,383.6,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
BRA,Brasil,América,2022,matematicas,Matemáticas,378.7,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
CHL,Chile,América,2015,ciencias,Ciencias,447.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
CHL,Chile,América,2018,ciencias,Ciencias,443.6,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
CHL,Chile,América,2022,ciencias,Ciencias,443.5,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
CHL,Chile,América,2015,lectura,Lectura,458.6,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
CHL,Chile,América,2018,lectura,Lectura,452.3,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
CHL,Chile,América,2022,lectura,Lectura,448.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
CHL,Chile,América,2015,matematicas,Matemáticas,422.7,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
CHL,Chile,América,2018,matematicas,Matemáticas,417.4,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
CHL,Chile,América,2022,matematicas,Matemáticas,411.7,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
COL,Colombia,América,2015,ciencias,Ciencias,415.7,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
COL,Colombia,América,2018,ciencias,Ciencias,413.3,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
COL,Colombia,América,2022,ciencias,Ciencias,411.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
COL,Colombia,América,2015,lectura,Lectura,424.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
COL,Colombia,América,2018,lectura,Lectura,412.3,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
COL,Colombia,América,2022,lectura,Lectura,408.7,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
COL,Colombia,América,2015,matematicas,Matemáticas,389.6,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
COL,Colombia,América,2018,matematicas,Matemáticas,390.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
COL,Colombia,América,2022,matematicas,Matemáticas,382.7,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ESP,España,Europa,2015,ciencias,Ciencias,492.8,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ESP,España,Europa,2018,ciencias,Ciencias,,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ESP,España,Europa,2022,ciencias,Ciencias,484.5,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ESP,España,Europa,2015,lectura,Lectura,495.6,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ESP,España,Europa,2018,lectura,Lectura,,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ESP,España,Europa,2022,lectura,Lectura,474.3,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ESP,España,Europa,2015,matematicas,Matemáticas,485.8,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ESP,España,Europa,2018,matematicas,Matemáticas,,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
ESP,España,Europa,2022,matematicas,Matemáticas,473.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
EST,Estonia,Europa,2015,ciencias,Ciencias,534.2,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
EST,Estonia,Europa,2018,ciencias,Ciencias,530.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
EST,Estonia,Europa,2022,ciencias,Ciencias,525.8,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
EST,Estonia,Europa,2015,lectura,Lectura,519.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
EST,Estonia,Europa,2018,lectura,Lectura,523.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
EST,Estonia,Europa,2022,lectura,Lectura,511.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
EST,Estonia,Europa,2015,matematicas,Matemáticas,519.5,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
EST,Estonia,Europa,2018,matematicas,Matemáticas,523.4,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
EST,Estonia,Europa,2022,matematicas,Matemáticas,509.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FIN,Finlandia,Europa,2015,ciencias,Ciencias,530.7,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FIN,Finlandia,Europa,2018,ciencias,Ciencias,521.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FIN,Finlandia,Europa,2022,ciencias,Ciencias,511.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FIN,Finlandia,Europa,2015,lectura,Lectura,526.4,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FIN,Finlandia,Europa,2018,lectura,Lectura,520.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FIN,Finlandia,Europa,2022,lectura,Lectura,490.2,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FIN,Finlandia,Europa,2015,matematicas,Matemáticas,511.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FIN,Finlandia,Europa,2018,matematicas,Matemáticas,507.3,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FIN,Finlandia,Europa,2022,matematicas,Matemáticas,484.1,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FRA,Francia,Europa,2015,ciencias,Ciencias,495.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FRA,Francia,Europa,2018,ciencias,Ciencias,493.0,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FRA,Francia,Europa,2022,ciencias,Ciencias,487.2,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FRA,Francia,Europa,2015,lectura,Lectura,499.3,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FRA,Francia,Europa,2018,lectura,Lectura,492.6,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FRA,Francia,Europa,2022,lectura,Lectura,473.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
FRA,Francia,Europa,2015,matematicas,Matemáticas,492.9,Puntuación media PISA,"OECD, PISA 2022 Database, Tables I.B1.5.4-I.B1.5.6"
