country_code,country,region,metric_type,metric_key,metric_label,value,level,source
AUS,Australia,Asia-Pacífico,practice,resumir,Resumir o aprender un tema,70.6,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
AUS,Australia,Asia-Pacífico,practice,planes,Generar planes o actividades,71.2,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
AUS,Australia,Asia-Pacífico,practice,adaptar,Adaptar materiales por necesidad,45.6,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
AUS,Australia,Asia-Pacífico,practice,necesidades,Apoyar necesidades específicas,28.7,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
AUS,Australia,Asia-Pacífico,practice,evaluar,Evaluar o calificar trabajos,15.3,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
AUS,Australia,Asia-Pacífico,practice,feedback,Redactar feedback o comunicaciones,42.1,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
BRA,Brasil,América,practice,resumir,Resumir o aprender un tema,62.6,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
BRA,Brasil,América,practice,planes,Generar planes o actividades,77.4,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
BRA,Brasil,América,practice,adaptar,Adaptar materiales por necesidad,64.2,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
BRA,Brasil,América,practice,necesidades,Apoyar necesidades específicas,53.7,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
BRA,Brasil,América,practice,evaluar,Evaluar o calificar trabajos,35.6,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
BRA,Brasil,América,practice,feedback,Redactar feedback o comunicaciones,39.4,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
CHL,Chile,América,practice,resumir,Resumir o aprender un tema,81.2,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
CHL,Chile,América,practice,planes,Generar planes o actividades,68.0,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
CHL,Chile,América,practice,adaptar,Adaptar materiales por necesidad,41.6,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
CHL,Chile,América,practice,necesidades,Apoyar necesidades específicas,40.6,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
CHL,Chile,América,practice,evaluar,Evaluar o calificar trabajos,17.7,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
CHL,Chile,América,practice,feedback,Redactar feedback o comunicaciones,45.7,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
COL,Colombia,América,practice,resumir,Resumir o aprender un tema,79.3,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
COL,Colombia,América,practice,planes,Generar planes o actividades,80.2,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
COL,Colombia,América,practice,adaptar,Adaptar materiales por necesidad,58.6,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
COL,Colombia,América,practice,necesidades,Apoyar necesidades específicas,59.9,ISCED 2,"OECD, TALIS 2024 Results, Table 1.60"
